iter	Passed	Remaining
1390	10558	8417
1391	10566	8410
1392	10574	8403
1393	10581	8395
1394	10588	8387
1395	10596	8379
1396	10604	8372
1397	10611	8364
1398	10619	8357
1399	10627	8350
1400	10633	8341
1401	10641	8333
1402	10648	8326
1403	10657	8319
1404	10664	8311
1405	10674	8305
1406	10681	8298
1407	10693	8293
1408	10703	8287
1409	10715	8283
1410	10726	8278
1411	10736	8272
1412	10744	8265
1413	10754	8259
1414	10761	8251
1415	10770	8245
1416	10779	8238
1417	10786	8230
1418	10794	8223
1419	10803	8216
1420	10809	8208
1421	10819	8201
1422	10826	8194
1423	10836	8188
1424	10845	8181
1425	10854	8175
1426	10861	8167
1427	10870	8160
1428	10878	8153
1429	10888	8147
1430	10895	8139
1431	10904	8132
1432	10911	8124
1433	10920	8118
1434	10943	8121
1435	10965	8124
1436	10974	8117
1437	10982	8111
1438	10989	8102
1439	10998	8095
1440	11006	8088
1441	11013	8080
1442	11020	8072
1443	11028	8064
1444	11037	8058
1445	11049	8054
1446	11068	8054
1447	11081	8050
1448	11090	8044
1449	11099	8037
1450	11108	8030
1451	11117	8024
1452	11125	8017
1453	11133	8009
1454	11140	8001
1455	11147	7993
1456	11154	7985
1457	11162	7977
1458	11169	7969
1459	11177	7961
1460	11185	7954
1461	11192	7946
1462	11198	7937
1463	11206	7930
1464	11214	7922
1465	11236	7925
1466	11253	7923
1467	11266	7920
1468	11275	7913
1469	11286	7908
1470	11299	7904
1471	11311	7899
1472	11320	7892
1473	11342	7894
1474	11354	7890
1475	11361	7882
1476	11370	7875
1477	11378	7867
1478	11386	7860
1479	11395	7853
1480	11403	7846
1481	11410	7838
1482	11419	7830
1483	11427	7823
1484	11436	7816
1485	11443	7808
1486	11451	7801
1487	11459	7793
1488	11468	7786
1489	11475	7778
1490	11483	7770
1491	11490	7763
1492	11498	7755
1493	11507	7748
1494	11515	7741
1495	11524	7734
1496	11531	7725
1497	11539	7718
1498	11547	7711
1499	11555	7703
1500	11561	7694
1501	11570	7688
1502	11579	7681
1503	11590	7675
1504	11598	7668
1505	11606	7660
1506	11614	7652
1507	11621	7644
1508	11629	7637
1509	11637	7629
1510	11644	7621
1511	11651	7613
1512	11659	7606
1513	11667	7598
1514	11674	7590
1515	11682	7582
1516	11690	7575
1517	11698	7567
1518	11706	7560
1519	11714	7552
1520	11722	7545
1521	11731	7538
1522	11738	7530
1523	11746	7522
1524	11754	7514
1525	11763	7508
1526	11821	7532
1527	11837	7530
1528	11843	7521
1529	11851	7513
1530	11860	7506
1531	11871	7501
1532	11878	7493
1533	11887	7485
1534	11895	7478
1535	11903	7470
1536	11911	7462
1537	11918	7455
1538	11928	7448
1539	11936	7441
1540	11943	7432
1541	11951	7424
1542	11958	7416
1543	11965	7408
1544	11972	7400
1545	11980	7393
1546	11988	7385
1547	11996	7377
1548	12003	7369
1549	12011	7361
1550	12018	7353
1551	12023	7344
1552	12030	7336
1553	12038	7328
1554	12046	7321
1555	12053	7312
1556	12060	7304
1557	12068	7296
1558	12074	7288
1559	12083	7280
1560	12091	7273
1561	12099	7265
1562	12106	7257
1563	12114	7250
1564	12122	7242
1565	12130	7234
1566	12137	7226
1567	12146	7219
1568	12153	7211
1569	12161	7203
1570	12168	7195
1571	12175	7187
1572	12182	7179
1573	12187	7170
1574	12196	7162
1575	12205	7155
1576	12212	7147
1577	12218	7139
1578	12227	7132
1579	12234	7123
1580	12242	7116
1581	12250	7108
1582	12258	7100
1583	12264	7092
1584	12272	7084
1585	12279	7076
1586	12287	7068
1587	12295	7061
1588	12302	7053
1589	12310	7045
1590	12316	7037
1591	12323	7028
1592	12331	7020
1593	12338	7012
1594	12347	7005
1595	12357	6999
1596	12368	6993
1597	12379	6987
1598	12386	6979
1599	12396	6973
1600	12406	6966
1601	12415	6959
1602	12422	6951
1603	12430	6943
1604	12438	6936
1605	12447	6928
1606	12454	6920
1607	12462	6913
1608	12470	6905
1609	12478	6897
1610	12483	6888
1611	12493	6882
1612	12500	6874
1613	12508	6866
1614	12515	6858
1615	12524	6851
1616	12532	6843
1617	12540	6835
1618	12547	6827
1619	12555	6820
1620	12562	6812
1621	12571	6804
1622	12578	6796
1623	12585	6788
1624	12593	6781
1625	12601	6773
1626	12609	6766
1627	12616	6757
1628	12624	6750
1629	12631	6741
1630	12640	6734
1631	12648	6727
1632	12657	6720
1633	12664	6712
1634	12671	6704
1635	12679	6696
1636	12687	6688
1637	12694	6680
1638	12701	6672
1639	12709	6664
1640	12716	6656
1641	12725	6649
1642	12733	6641
1643	12740	6633
1644	12749	6626
1645	12755	6618
1646	12764	6611
1647	12773	6603
1648	12780	6595
1649	12787	6587
1650	12795	6579
1651	12803	6572
1652	12810	6564
1653	12819	6557
1654	12827	6549
1655	12834	6541
1656	12842	6533
1657	12850	6526
1658	12858	6518
1659	12866	6510
1660	12885	6508
1661	12893	6501
1662	12902	6493
1663	12909	6485
1664	12917	6477
1665	12925	6470
1666	12934	6463
1667	12941	6455
1668	12949	6447
1669	12955	6439
1670	12964	6431
1671	12972	6424
